School_District,School,County,Type_of_Organization,Number_of_Outlets,_Lead_Free_Plumbing,Previously_Sampled_Outlets,Outlets_Waiver_Requested,Waivers_Granted,Outlets_Sampled_After_Regulation,Sampling_Complete,Sampling_Completion_Date,NumOutletsLessOrEqualTo15ppb,NumOutletsMoreThan15ppb,Out_of_Service,All_Results_Received,Date_All_Results_Received,School_Website,BEDS_Code,School_Street,School_City,School_State,School_Zip_Code,Date_Sampling_Updated,Date_Results_Updated,County_Latitudes,County_Longitudes
BUFFALO CITY SCHOOLS,PS 48 AT 39 SCHOOL,Erie,Public School,129,No,0,0,0,129,Yes,09/24/2016,119,10,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010048,,,,,01/20/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 91 B.U.I.L.D. ACADEMY,Erie,Public School,107,No,0,0,0,107,Yes,09/24/2016,102,5,Yes,Yes,10/24/2016,www.buffaloschools.org,140600010032,,,,,01/20/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 90 DR. CHARLES R DREW EARLY CHILDHOOD CENTER,Erie,Public School,92,No,0,0,0,92,Yes,09/22/2016,91,1,Yes,Yes,11/14/2016,www.buffaloschools.org,140600010090,,,,,02/06/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 200 BENNETT HIGH SCHOOL,Erie,Public School,161,No,0,0,0,161,Yes,10/04/2016,158,3,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010099,,,,,01/20/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 68 WESTMINSTER COMMUNITY CHARTER SCHOOL,Erie,Public School,58,No,0,0,0,58,Yes,09/24/2016,58,0,Yes,Yes,09/26/2016,www.buffaloschools.org,140600010068,,,,,01/26/2017,01/26/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 204 LAFAYETTE HIGH SCHOOL,Erie,Public School,75,No,0,0,0,75,Yes,10/04/2016,64,11,Yes,Yes,11/02/2016,www.buffaloschools.org,140600010107,,,,,01/20/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 307 EAST HIGH SCHOOL,Erie,Public School,112,No,0,0,0,112,Yes,10/05/2016,100,12,Yes,Yes,11/10/2016,www.buffaloschools.org,140600010307,,,,,01/20/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 32 BENNETT PARK MONTESSORI SCHOOL,Erie,Public School,127,No,0,0,0,127,Yes,09/23/2016,124,3,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010122,342 CLINTON ST,BUFFALO,NY,14204,02/06/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 192 BUFFALO ACADEMY FOR ARTS,Erie,Public School,163,No,0,0,0,163,Yes,09/24/2016,156,7,Yes,Yes,10/24/2016,www.buffaloschools.org,140600010097,MASTON ST,BUFFALO,NY,14204,01/20/2017,01/20/2017,42.888143,-78.79554
BUFFALO CITY SCHOOLS,PS 84 ERIE COUNTY HEALTH CARE CENTER FOR CHILDREN,Erie,Public School,83,No,0,0,0,83,Yes,09/24/2016,81,2,Yes,Yes,11/11/2016,www.buffaloschools.org,140600010084,462 GRIDER ST,BUFFALO,NY,14215,01/20/2017,01/20/2017,42.888143,-78.79554
